timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,Cluster
1.68063E+12,95,HTTP Request 5 Small,200,OK,Thread Group 1-2,text,true,,256313,126,6,6,http://192.168.56.104/250KB.txt,28,0,0,17
1.68063E+12,78,HTTP Request 7 Small,200,OK,Thread Group 1-1,text,true,,358713,126,6,6,http://192.168.56.104/350KB.txt,46,0,0,17
1.68063E+12,597,HTTP Request 4 Large ,200,OK,Thread Group 1-4,text,true,,1536315,127,6,6,http://192.168.56.104/1500KB.txt,11,0,0,19
1.68063E+12,626,HTTP Request 11 Large ,200,OK,Thread Group 1-3,text,true,,1894715,127,6,6,http://192.168.56.104/1850KB.txt,8,0,0,19
1.68063E+12,265,HTTP Request 11 Medium,200,OK,Thread Group 1-5,text,true,,1229115,127,6,6,http://192.168.56.104/1200KB.txt,1,0,0,17
1.68063E+12,183,HTTP Request 8 Large ,200,OK,Thread Group 1-6,text,true,,1741116,127,6,6,http://192.168.56.104/1700KB.txt,4,0,2,17
1.68063E+12,108,HTTP Request 6 Large ,200,OK,Thread Group 1-4,text,true,,1638715,127,6,6,http://192.168.56.104/1600KB.txt,7,0,0,17
1.68063E+12,104,HTTP Request 12 Medium,200,OK,Thread Group 1-3,text,true,,1280315,127,6,6,http://192.168.56.104/1250KB.txt,15,0,0,17
1.68063E+12,81,HTTP Request 12 Small,200,OK,Thread Group 1-5,text,true,,614713,126,6,6,http://192.168.56.104/600KB.txt,2,0,0,17
1.68063E+12,242,HTTP Request 2 Large ,200,OK,Thread Group 1-3,text,true,,1433915,127,6,6,http://192.168.56.104/1400KB.txt,30,0,0,17
1.68063E+12,70,HTTP Request 5 Small,200,OK,Thread Group 1-5,text,true,,256313,126,6,6,http://192.168.56.104/250KB.txt,13,0,0,17
1.68063E+12,374,HTTP Request 6 Large ,200,OK,Thread Group 1-1,text,true,,1638715,127,6,6,http://192.168.56.104/1600KB.txt,8,0,0,17
1.68063E+12,423,HTTP Request 11 Large ,200,OK,Thread Group 1-2,text,true,,1894715,127,6,6,http://192.168.56.104/1850KB.txt,7,0,0,17
1.68063E+12,376,HTTP Request 12 Medium,200,OK,Thread Group 1-4,text,true,,1280315,127,6,6,http://192.168.56.104/1250KB.txt,5,0,0,17
1.68063E+12,62,HTTP Request 7 Small,200,OK,Thread Group 1-1,text,true,,358713,126,6,6,http://192.168.56.104/350KB.txt,23,0,0,17
1.68063E+12,566,HTTP Request 8 Large ,200,OK,Thread Group 1-6,text,true,,1741115,127,6,6,http://192.168.56.104/1700KB.txt,3,0,0,19
1.68063E+12,163,HTTP Request 6 Large ,200,OK,Thread Group 1-4,text,true,,1638715,127,7,7,http://192.168.56.104/1600KB.txt,3,0,0,17
1.68063E+12,291,HTTP Request 3 Large ,200,OK,Thread Group 1-2,text,true,,1485115,127,7,7,http://192.168.56.104/1450KB.txt,18,0,0,17
1.68063E+12,81,HTTP Request 10 Small,200,OK,Thread Group 1-5,text,true,,512313,126,7,7,http://192.168.56.104/500KB.txt,5,0,0,17
1.68063E+12,299,HTTP Request 11 Large ,200,OK,Thread Group 1-7,text,true,,1894716,127,7,7,http://192.168.56.104/1850KB.txt,8,0,3,17
1.68063E+12,393,HTTP Request 1 Large ,200,OK,Thread Group 1-6,text,true,,1382715,127,7,7,http://192.168.56.104/1350KB.txt,4,0,0,17
1.68063E+12,408,HTTP Request 12 Large ,200,OK,Thread Group 1-3,text,true,,1945915,127,7,7,http://192.168.56.104/1900KB.txt,17,0,0,17
1.68063E+12,86,HTTP Request 11 Small,200,OK,Thread Group 1-1,text,true,,563513,126,7,7,http://192.168.56.104/550KB.txt,37,0,0,17
1.68063E+12,141,HTTP Request 8 Large ,200,OK,Thread Group 1-2,text,true,,1741115,127,7,7,http://192.168.56.104/1700KB.txt,35,0,0,17
1.68063E+12,139,HTTP Request 8 Small,200,OK,Thread Group 1-6,text,true,,409913,126,7,7,http://192.168.56.104/400KB.txt,24,0,0,17
1.68063E+12,145,HTTP Request 13 Small,200,OK,Thread Group 1-3,text,true,,665913,126,7,7,http://192.168.56.104/650KB.txt,11,0,0,17
1.68063E+12,318,HTTP Request 1 Large ,200,OK,Thread Group 1-7,text,true,,1382715,127,7,7,http://192.168.56.104/1350KB.txt,24,0,0,17
1.68063E+12,117,HTTP Request 1 Medium,200,OK,Thread Group 1-5,text,true,,717113,126,7,7,http://192.168.56.104/700KB.txt,39,0,0,17
1.68063E+12,375,HTTP Request 3 Large ,200,OK,Thread Group 1-4,text,true,,1485115,127,7,7,http://192.168.56.104/1450KB.txt,23,0,0,17
1.68063E+12,37,HTTP Request 7 Small,200,OK,Thread Group 1-1,text,true,,358713,126,7,7,http://192.168.56.104/350KB.txt,5,0,0,17
1.68063E+12,62,HTTP Request 4 Small,200,OK,Thread Group 1-8,text,true,,205114,126,8,8,http://192.168.56.104/200KB.txt,18,0,10,2
1.68063E+12,172,HTTP Request 1 Medium,200,OK,Thread Group 1-2,text,true,,717113,126,8,8,http://192.168.56.104/700KB.txt,2,0,0,17
1.68063E+12,104,HTTP Request 6 Small,200,OK,Thread Group 1-3,text,true,,307513,126,8,8,http://192.168.56.104/300KB.txt,3,0,0,17
1.68063E+12,153,HTTP Request 5 Small,200,OK,Thread Group 1-7,text,true,,256313,126,8,8,http://192.168.56.104/250KB.txt,1,0,0,17
1.68063E+12,215,HTTP Request 1 Large ,200,OK,Thread Group 1-4,text,true,,1382715,127,8,8,http://192.168.56.104/1350KB.txt,2,0,0,17
1.68063E+12,345,HTTP Request 9 Large ,200,OK,Thread Group 1-6,text,true,,1792315,127,8,8,http://192.168.56.104/1750KB.txt,2,0,0,17
1.68063E+12,147,HTTP Request 1 Large ,200,OK,Thread Group 1-5,text,true,,1382715,127,8,8,http://192.168.56.104/1350KB.txt,16,0,0,17
1.68063E+12,223,HTTP Request 12 Medium,200,OK,Thread Group 1-1,text,true,,1280315,127,8,8,http://192.168.56.104/1250KB.txt,5,0,0,17
1.68063E+12,235,HTTP Request 8 Large ,200,OK,Thread Group 1-2,text,true,,1741115,127,8,8,http://192.168.56.104/1700KB.txt,9,0,0,17
1.68063E+12,139,HTTP Request 11 Small,200,OK,Thread Group 1-7,text,true,,563513,126,8,8,http://192.168.56.104/550KB.txt,7,0,0,17
