 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0  79480 174344  15652 284780    0    0     0     0 1402  261  0 81 19  0  0
 0  0  79480 176872  15652 284784    0    0     0     0  585  331  0 90 10  0  0
 0  0  79480 176872  15652 284784    0    0     0     0  542  189  0 47 53  0  0
 2  0  79480 175980  15652 284784    0    0     0     0 1048  309  0 91  9  0  0
 2  0  79480 176172  15660 284788    0    0     0    24  813  241  0 61 38  1  0
 1  0  79480 173196  15660 284788    0    0     0     0  611  262  0 68 32  0  0
 1  0  79480 176780  15668 284856    0    0    76     0  386  244  0 39 61  0  0
 0  0  79480 176908  15668 284860    0    0     0     0  718  268  0 71 29  0  0
 2  0  79480 176492  15668 284864    0    0     0     0  604  278  0 68 32  0  0
 0  0  79480 176908  15676 284864    0    0     0    20  812  259  0 72 28  0  0
 0  0  79480 176908  15676 284864    0    0     0     0  864  284  0 70 30  0  0
 0  0  79480 176876  15676 284868    0    0     0     0  516  204  0 41 59  0  0
 2  0  79480 176076  15676 284868    0    0     0     0  768  304  0 93  7  0  0
 0  0  79480 176908  15676 284872    0    0     0     4  755  204  0 59 41  0  0
 1  0  79480 176012  15684 284872    0    0     0    16  716  263  0 51 48  1  0
 1  0  79480 176044  15684 284872    0    0     0     0  888  207  0 70 30  0  0
 3  0  79480 175820  15684 284876    0    0     0     0  817  259  0 85 15  0  0
 0  0  79480 176908  15684 284876    0    0     0     0  665  244  0 78 22  0  0
 4  0  79480 174540  15684 284880    0    0     0     0  804  240  0 68 32  0  0
 0  0  79480 176908  15692 284880    0    0     0    52  485  289  0 80 20  0  0
 1  0  79480 176108  15692 284884    0    0     0     0  389  205  0 54 46  0  0
 1  0  79480 176876  15692 284888    0    0     0     0  980  290  0 98  2  0  0
 6  0  79480 175372  15692 284888    0    0     0     0  781  209  0 51 49  0  0
 3  0  79480 172780  15692 284892    0    0     0     0  947  270  0 87 13  0  0
 4  0  79480 175564  15700 284892    0    0     0    24  503  199  0 55 45  0  0
 2  0  79480 176620  15700 284896    0    0     0     0  741  214  0 58 42  0  0
 0  0  79480 176908  15700 284896    0    0     0     0  587  208  0 60 40  0  0
 4  0  79480 175436  15700 284900    0    0     0     0  690  239  0 67 33  0  0
 0  0  79480 176908  15700 284900    0    0     0     0  723  241  0 69 31  0  0
 1  0  79480 176268  15708 284900    0    0     0    32  701  203  0 56 44  0  0
 3  0  79480 175820  15708 284904    0    0     0     0  890  351  0 98  2  0  0
 1  0  79480 176844  15708 284904    0    0     0     0  690  209  0 63 37  0  0
 1  0  79480 174164  15716 284948   80    0   120    28  966  346  0 80 19  1  0
 3  0  79480 175116  15716 284948    0    0     0     0  478  145  0 45 55  0  0
 3  0  79480 174604  15716 284948    0    0     0     0 1147  282  0 100  0  0  0
 1  0  79480 176380  15740 285108    0    0   188    48  427  280  1 62 36  1  0
 2  0  79480 160640  16384 298996    0    0 14500     0  968  902  5 89  0  6  0
 0  0  79480 161504  16384 299080    0    0    56     0  818  305  0 75 25  0  0
 0  0  79480 161504  16528 299404    0    0   452   336  816  255  0 66 34  0  0
 0  0  79480 161504  16528 299412    0    0     0     0  647  302  0 74 26  0  0
 3  0  79480 160460  16544 300164  176    0   940    84  798  287  0 63 37  0  0
 3  0  79480 154168  17020 301916   28    0  2236     0  901  568  2 96  0  2  0
 3  0  79480 156056  17020 301920    0    0     0     0  329  153  0 47 53  0  0
 4  0  79480 155160  17020 301920    0    0     0     0  789  275  0 75 25  0  0
 0  0  79480 157464  17020 301924    0    0     0     8  543  208  0 51 49  0  0
 0  0  79480 157432  17028 301916    0    0     0    36  745  292  0 77 23  0  0
 0  0  79480 157464  17028 301928    0    0     0     0  500  207  0 59 41  0  0
 2  0  79480 156568  17028 301928    0    0     0     0  642  225  0 50 50  0  0
 0  0  79480 157464  17028 301928    0    0     0     0  501  243  0 54 46  0  0
 0  0  79480 157464  17028 301932    0    0     0     0  540  198  0 52 48  0  0
 2  1  79480 156408  17036 301924    0    0     0    80  577  273  0 62 38  0  0
 2  0  79480 157280  17036 301936    0    0     0     0  450  245  0 42 58  0  0
 3  0  79480 156384  17036 301932    0    0     0     0  521  215  0 52 48  0  0
 0  0  79480 157440  17036 301936    0    0     0     0  464  177  0 46 54  0  0
 0  0  79480 157472  17036 301936    0    0     0     0 1175  304  0 90 10  0  0
 0  0  79480 157472  17036 301936    0    0     0     0  840  247  0 70 30  0  0
 2  0  79480 156224  17044 301940    0    0     0    28  737  232  0 72 28  0  0
 0  0  79480 157440  17044 301940    0    0     0     0  644  312  0 79 21  0  0
 1  0  79480 157472  17044 301944    0    0     0     0  795  213  0 51 49  0  0
 1  0  79480 155296  17044 301944    0    0     0     0  723  249  0 80 20  0  0
 1  0  79480 156768  17044 301948    0    0     0     0  428  212  0 55 45  0  0
 2  0  79480 154336  17052 301948    0    0     0    16  768  247  0 64 35  1  0
 3  1  79480 157440  17052 301948    0    0     0   140  638  201  0 56 44  0  0
 1  0  79480 157152  17052 301952    0    0     0   556  735  278  0 81 19  0  0
 2  0  79480 156512  17052 301952    0    0     0     0  577  241  0 58 42  0  0
 1  0  79480 156576  17052 301956    0    0     0     0  972  254  0 62 38  0  0
 0  0  79480 157472  17060 301956    0    0     0    64  570  280  0 69 28  3  0
 0  0  79480 157472  17060 301956    0    0     0     0  543  232  0 55 45  0  0
 1  0  79480 157088  17060 301960    0    0     0     0  813  283  0 77 23  0  0
 1  0  79480 155744  17060 301960    0    0     0     0  873  234  0 64 36  0  0
 3  0  79480 154080  17060 301968    0    0     0     0  717  273  0 62 38  0  0
 0  0  79480 157440  17068 301968    0    0     0    20  635  201  0 60 40  0  0
 0  0  79480 157472  17068 301972    0    0     0     0  693  239  0 52 48  0  0
 1  0  79480 157056  17068 301972    0    0     0     0  869  266  0 71 29  0  0
