timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680789808451,34,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256314,126,1,1,http://192.168.56.104/250KB.txt,11,0,6
1680789808609,11,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,1,1,http://192.168.56.104/150KB.txt,2,0,0
1680789808770,62,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256313,126,1,1,http://192.168.56.104/250KB.txt,4,0,0
1680789808930,23,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,51511,125,1,1,http://192.168.56.104/50KB.txt,4,0,0
1680789809089,26,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,1,1,http://192.168.56.104/150KB.txt,3,0,0
1680789809249,18,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,205113,126,1,1,http://192.168.56.104/200KB.txt,1,0,0
1680789809410,64,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,205113,126,2,2,http://192.168.56.104/200KB.txt,5,0,0
1680789809457,27,HTTP Request 5 Small,200,OK,Thread Group 1-2,text,true,,256314,126,2,2,http://192.168.56.104/250KB.txt,7,0,2
1680789809729,8,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,2,2,http://192.168.56.104/150KB.txt,1,0,0
1680789809777,5,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,51511,125,2,2,http://192.168.56.104/50KB.txt,2,0,0
1680789810050,15,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,205113,126,2,2,http://192.168.56.104/200KB.txt,2,0,0
1680789810097,6,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,51511,125,2,2,http://192.168.56.104/50KB.txt,2,0,0
1680789810370,15,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,2,2,http://192.168.56.104/150KB.txt,1,0,0
1680789810416,10,HTTP Request 3 Small,200,OK,Thread Group 1-2,text,true,,153913,126,2,2,http://192.168.56.104/150KB.txt,1,0,0
1680789810454,7,HTTP Request 1 Small,200,OK,Thread Group 1-3,text,true,,51512,125,3,3,http://192.168.56.104/50KB.txt,4,0,2
1680789810689,24,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256313,126,3,3,http://192.168.56.104/250KB.txt,2,0,0
1680789810737,8,HTTP Request 2 Small,200,OK,Thread Group 1-2,text,true,,102713,126,3,3,http://192.168.56.104/100KB.txt,1,0,0
1680789810933,36,HTTP Request 5 Small,200,OK,Thread Group 1-3,text,true,,256313,126,3,3,http://192.168.56.104/250KB.txt,3,0,0
1680789811170,6,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,51511,125,3,3,http://192.168.56.104/50KB.txt,1,0,0
1680789811216,8,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,51511,125,3,3,http://192.168.56.104/50KB.txt,1,0,0
1680789811413,25,HTTP Request 5 Small,200,OK,Thread Group 1-3,text,true,,256313,126,3,3,http://192.168.56.104/250KB.txt,2,0,0
1680789811454,21,HTTP Request 3 Small,200,OK,Thread Group 1-4,text,true,,153914,126,4,4,http://192.168.56.104/150KB.txt,6,0,3
1680789811649,57,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256313,126,4,4,http://192.168.56.104/250KB.txt,5,0,0
1680789811696,14,HTTP Request 2 Small,200,OK,Thread Group 1-2,text,true,,102713,126,4,4,http://192.168.56.104/100KB.txt,3,0,0
1680789811894,13,HTTP Request 2 Small,200,OK,Thread Group 1-3,text,true,,102713,126,4,4,http://192.168.56.104/100KB.txt,4,0,0
1680789812092,6,HTTP Request 1 Small,200,OK,Thread Group 1-4,text,true,,51511,125,4,4,http://192.168.56.104/50KB.txt,2,0,0
1680789812290,10,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256313,126,4,4,http://192.168.56.104/250KB.txt,1,0,0
1680789812337,53,HTTP Request 5 Small,200,OK,Thread Group 1-2,text,true,,256313,126,4,4,http://192.168.56.104/250KB.txt,2,0,0
1680789812440,14,HTTP Request 3 Small,200,OK,Thread Group 1-5,text,true,,153914,126,5,5,http://192.168.56.104/150KB.txt,5,0,2
1680789812534,9,HTTP Request 3 Small,200,OK,Thread Group 1-3,text,true,,153913,126,5,5,http://192.168.56.104/150KB.txt,1,0,0
1680789812732,23,HTTP Request 4 Small,200,OK,Thread Group 1-4,text,true,,205113,126,5,5,http://192.168.56.104/200KB.txt,3,0,0
1680789812929,12,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,102713,126,5,5,http://192.168.56.104/100KB.txt,2,0,0
1680789812977,42,HTTP Request 5 Small,200,OK,Thread Group 1-2,text,true,,256313,126,5,5,http://192.168.56.104/250KB.txt,2,0,0
1680789813240,15,HTTP Request 3 Small,200,OK,Thread Group 1-5,text,true,,153913,126,5,5,http://192.168.56.104/150KB.txt,2,0,0
1680789813334,12,HTTP Request 2 Small,200,OK,Thread Group 1-3,text,true,,102713,126,5,5,http://192.168.56.104/100KB.txt,2,0,0
1680789813453,15,HTTP Request 5 Small,200,OK,Thread Group 1-6,text,true,,256314,126,6,6,http://192.168.56.104/250KB.txt,4,0,2
1680789813532,12,HTTP Request 4 Small,200,OK,Thread Group 1-4,text,true,,205113,126,6,6,http://192.168.56.104/200KB.txt,1,0,0
1680789813730,24,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,102713,126,6,6,http://192.168.56.104/100KB.txt,3,0,0
1680789813776,18,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,205113,126,6,6,http://192.168.56.104/200KB.txt,2,0,0
1680789814039,9,HTTP Request 3 Small,200,OK,Thread Group 1-5,text,true,,153913,126,6,6,http://192.168.56.104/150KB.txt,1,0,0
1680789814134,14,HTTP Request 3 Small,200,OK,Thread Group 1-3,text,true,,153913,126,6,6,http://192.168.56.104/150KB.txt,2,0,0
1680789814412,19,HTTP Request 4 Small,200,OK,Thread Group 1-6,text,true,,205113,126,6,6,http://192.168.56.104/200KB.txt,3,0,0
1680789814452,17,HTTP Request 5 Small,200,OK,Thread Group 1-7,text,true,,256314,126,7,7,http://192.168.56.104/250KB.txt,4,0,1
1680789814492,17,HTTP Request 4 Small,200,OK,Thread Group 1-4,text,true,,205113,126,7,7,http://192.168.56.104/200KB.txt,1,0,0
1680789814689,18,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,7,7,http://192.168.56.104/150KB.txt,1,0,0
1680789814736,9,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,51511,125,7,7,http://192.168.56.104/50KB.txt,1,0,0
1680789814999,10,HTTP Request 3 Small,200,OK,Thread Group 1-5,text,true,,153913,126,7,7,http://192.168.56.104/150KB.txt,2,0,0
1680789815093,12,HTTP Request 3 Small,200,OK,Thread Group 1-3,text,true,,153913,126,7,7,http://192.168.56.104/150KB.txt,2,0,0
1680789815372,14,HTTP Request 5 Small,200,OK,Thread Group 1-6,text,true,,256313,126,7,7,http://192.168.56.104/250KB.txt,1,0,0
1680789815452,15,HTTP Request 4 Small,200,OK,Thread Group 1-8,text,true,,205114,126,8,8,http://192.168.56.104/200KB.txt,5,0,2
1680789815570,14,HTTP Request 5 Small,200,OK,Thread Group 1-7,text,true,,256313,126,8,8,http://192.168.56.104/250KB.txt,2,0,0
1680789815613,18,HTTP Request 5 Small,200,OK,Thread Group 1-4,text,true,,256313,126,8,8,http://192.168.56.104/250KB.txt,2,0,0
1680789815809,13,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,8,8,http://192.168.56.104/150KB.txt,1,0,0
1680789815856,15,HTTP Request 3 Small,200,OK,Thread Group 1-2,text,true,,153913,126,8,8,http://192.168.56.104/150KB.txt,1,0,0
1680789816120,11,HTTP Request 1 Small,200,OK,Thread Group 1-5,text,true,,51511,125,8,8,http://192.168.56.104/50KB.txt,3,0,0
1680789816213,14,HTTP Request 1 Small,200,OK,Thread Group 1-3,text,true,,51511,125,8,8,http://192.168.56.104/50KB.txt,3,0,0
1680789816453,48,HTTP Request 4 Small,200,OK,Thread Group 1-9,text,true,,205114,126,9,9,http://192.168.56.104/200KB.txt,10,0,5
1680789816492,18,HTTP Request 3 Small,200,OK,Thread Group 1-6,text,true,,153913,126,9,9,http://192.168.56.104/150KB.txt,2,0,0
1680789816730,32,HTTP Request 3 Small,200,OK,Thread Group 1-8,text,true,,153913,126,9,9,http://192.168.56.104/150KB.txt,4,0,0
1680789816850,28,HTTP Request 3 Small,200,OK,Thread Group 1-7,text,true,,153913,126,9,9,http://192.168.56.104/150KB.txt,4,0,0
1680789816892,13,HTTP Request 3 Small,200,OK,Thread Group 1-4,text,true,,153913,126,9,9,http://192.168.56.104/150KB.txt,2,0,0
1680789817089,29,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,9,9,http://192.168.56.104/150KB.txt,2,0,0
1680789817137,16,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,205113,126,9,9,http://192.168.56.104/200KB.txt,1,0,0
1680789817400,13,HTTP Request 4 Small,200,OK,Thread Group 1-5,text,true,,205113,126,9,9,http://192.168.56.104/200KB.txt,1,0,0
1680789817449,7,HTTP Request 1 Small,200,OK,Thread Group 1-10,text,true,,51512,125,10,10,http://192.168.56.104/50KB.txt,4,0,1
1680789817494,4,HTTP Request 1 Small,200,OK,Thread Group 1-3,text,true,,51511,125,10,10,http://192.168.56.104/50KB.txt,1,0,0
