timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680792071286,17,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153914,126,1,1,http://192.168.56.104/150KB.txt,6,0,2
1680792071338,9,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,205113,126,1,1,http://192.168.56.104/200KB.txt,1,0,0
1680792071391,9,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,1,1,http://192.168.56.104/150KB.txt,2,0,0
1680792071445,13,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,102713,126,1,1,http://192.168.56.104/100KB.txt,3,0,0
1680792071497,13,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,51511,125,1,1,http://192.168.56.104/50KB.txt,4,0,0
1680792071551,6,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,51511,125,1,1,http://192.168.56.104/50KB.txt,1,0,0
1680792071604,33,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256313,126,1,1,http://192.168.56.104/250KB.txt,1,0,0
1680792071656,20,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,1,1,http://192.168.56.104/150KB.txt,1,0,0
1680792071710,43,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,205113,126,1,1,http://192.168.56.104/200KB.txt,2,0,0
1680792071764,24,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,256313,126,1,1,http://192.168.56.104/250KB.txt,1,0,0
1680792071815,24,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,205113,126,1,1,http://192.168.56.104/200KB.txt,2,0,0
1680792071868,13,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,153913,126,1,1,http://192.168.56.104/150KB.txt,2,0,0
1680792071921,9,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,51511,125,1,1,http://192.168.56.104/50KB.txt,2,0,0
