timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680790803987,73,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229116,127,1,1,http://192.168.56.104/1200KB.txt,11,0,3
1680790804145,75,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,1,1,http://192.168.56.104/1200KB.txt,2,0,0
1680790804305,69,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,1,1,http://192.168.56.104/1100KB.txt,11,0,0
1680790804466,34,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,1,1,http://192.168.56.104/1100KB.txt,1,0,0
1680790804625,50,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1177915,127,1,1,http://192.168.56.104/1150KB.txt,4,0,0
1680790804785,35,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,1,1,http://192.168.56.104/1100KB.txt,1,0,0
1680790804946,147,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1177915,127,2,2,http://192.168.56.104/1150KB.txt,3,0,0
1680790804991,118,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,1024315,127,2,2,http://192.168.56.104/1000KB.txt,21,0,5
1680790805266,60,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,2,2,http://192.168.56.104/1200KB.txt,2,0,0
1680790805309,54,HTTP Request 2 Small,200,OK,Thread Group 1-2,text,true,,1075515,127,2,2,http://192.168.56.104/1050KB.txt,8,0,0
1680790805586,89,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,2,2,http://192.168.56.104/1200KB.txt,4,0,0
1680790805629,54,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,1024314,127,2,2,http://192.168.56.104/1000KB.txt,10,0,0
1680790805905,99,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,3,3,http://192.168.56.104/1200KB.txt,2,0,0
1680790805949,85,HTTP Request 2 Small,200,OK,Thread Group 1-2,text,true,,1075515,127,3,3,http://192.168.56.104/1050KB.txt,4,0,0
1680790805989,92,HTTP Request 2 Small,200,OK,Thread Group 1-3,text,true,,1075516,127,3,3,http://192.168.56.104/1050KB.txt,6,0,1
1680790806385,36,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,3,3,http://192.168.56.104/1050KB.txt,2,0,0
1680790806430,47,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,1177915,127,3,3,http://192.168.56.104/1150KB.txt,2,0,0
1680790806468,66,HTTP Request 1 Small,200,OK,Thread Group 1-3,text,true,,1024314,127,3,3,http://192.168.56.104/1000KB.txt,1,0,0
1680790806866,106,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,3,3,http://192.168.56.104/1050KB.txt,4,0,0
1680790806909,78,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,1177915,127,3,3,http://192.168.56.104/1150KB.txt,4,0,0
1680790806948,76,HTTP Request 3 Small,200,OK,Thread Group 1-3,text,true,,1075515,127,4,4,http://192.168.56.104/1100KB.txt,1,0,0
1680790806989,125,HTTP Request 4 Small,200,OK,Thread Group 1-4,text,true,,1177916,127,4,4,http://192.168.56.104/1150KB.txt,9,0,2
1680790807346,54,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,1024314,127,4,4,http://192.168.56.104/1000KB.txt,1,0,0
1680790807389,40,HTTP Request 2 Small,200,OK,Thread Group 1-2,text,true,,1075515,127,4,4,http://192.168.56.104/1050KB.txt,4,0,0
1680790807588,129,HTTP Request 3 Small,200,OK,Thread Group 1-3,text,true,,1075515,127,4,4,http://192.168.56.104/1100KB.txt,1,0,0
1680790807629,192,HTTP Request 4 Small,200,OK,Thread Group 1-4,text,true,,1177915,127,4,4,http://192.168.56.104/1150KB.txt,2,0,0
1680790807986,105,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,5,5,http://192.168.56.104/1050KB.txt,4,0,0
1680790808030,92,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,1024314,127,5,5,http://192.168.56.104/1000KB.txt,16,0,0
1680790807992,131,HTTP Request 5 Small,200,OK,Thread Group 1-5,text,true,,1229116,127,5,5,http://192.168.56.104/1200KB.txt,11,0,5
1680790808228,41,HTTP Request 5 Small,200,OK,Thread Group 1-3,text,true,,1229115,127,5,5,http://192.168.56.104/1200KB.txt,2,0,0
1680790808268,36,HTTP Request 1 Small,200,OK,Thread Group 1-4,text,true,,1024314,127,5,5,http://192.168.56.104/1000KB.txt,2,0,0
1680790808790,56,HTTP Request 2 Small,200,OK,Thread Group 1-5,text,true,,1075515,127,5,5,http://192.168.56.104/1050KB.txt,10,0,0
1680790808786,62,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,5,5,http://192.168.56.104/1200KB.txt,2,0,0
1680790808830,50,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,1024314,127,5,5,http://192.168.56.104/1000KB.txt,12,0,0
1680790808989,69,HTTP Request 2 Small,200,OK,Thread Group 1-6,text,true,,1075516,127,6,6,http://192.168.56.104/1050KB.txt,4,0,2
1680790809027,179,HTTP Request 3 Small,200,OK,Thread Group 1-3,text,true,,1075515,127,6,6,http://192.168.56.104/1100KB.txt,3,0,0
1680790809069,141,HTTP Request 1 Small,200,OK,Thread Group 1-4,text,true,,1024314,127,6,6,http://192.168.56.104/1000KB.txt,8,0,0
1680790809586,147,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,6,6,http://192.168.56.104/1050KB.txt,3,0,0
1680790809629,109,HTTP Request 2 Small,200,OK,Thread Group 1-2,text,true,,1075515,127,6,6,http://192.168.56.104/1050KB.txt,4,0,0
1680790809590,154,HTTP Request 4 Small,200,OK,Thread Group 1-5,text,true,,1177915,127,6,6,http://192.168.56.104/1150KB.txt,4,0,0
1680790809949,103,HTTP Request 2 Small,200,OK,Thread Group 1-6,text,true,,1075515,127,7,7,http://192.168.56.104/1050KB.txt,2,0,0
1680790810029,104,HTTP Request 2 Small,200,OK,Thread Group 1-4,text,true,,1075515,127,7,7,http://192.168.56.104/1050KB.txt,3,0,0
1680790809991,146,HTTP Request 4 Small,200,OK,Thread Group 1-7,text,true,,1177916,127,7,7,http://192.168.56.104/1150KB.txt,13,0,2
1680790809987,160,HTTP Request 2 Small,200,OK,Thread Group 1-3,text,true,,1075515,127,7,7,http://192.168.56.104/1050KB.txt,14,0,0
1680790810549,171,HTTP Request 1 Small,200,OK,Thread Group 1-5,text,true,,1024314,127,7,7,http://192.168.56.104/1000KB.txt,1,0,0
1680790810545,177,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1177915,127,7,7,http://192.168.56.104/1150KB.txt,2,0,0
1680790810589,142,HTTP Request 5 Small,200,OK,Thread Group 1-2,text,true,,1229115,127,7,7,http://192.168.56.104/1200KB.txt,16,0,0
1680790810990,71,HTTP Request 3 Small,200,OK,Thread Group 1-8,text,true,,1075516,127,8,8,http://192.168.56.104/1100KB.txt,8,0,3
1680790811069,116,HTTP Request 4 Small,200,OK,Thread Group 1-6,text,true,,1177915,127,8,8,http://192.168.56.104/1150KB.txt,2,0,0
1680790811111,113,HTTP Request 3 Small,200,OK,Thread Group 1-7,text,true,,1075515,127,8,8,http://192.168.56.104/1100KB.txt,17,0,0
1680790811149,85,HTTP Request 2 Small,200,OK,Thread Group 1-4,text,true,,1075515,127,8,8,http://192.168.56.104/1050KB.txt,3,0,0
1680790811107,130,HTTP Request 1 Small,200,OK,Thread Group 1-3,text,true,,1024314,127,8,8,http://192.168.56.104/1000KB.txt,17,0,0
1680790811710,190,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,1024314,127,8,8,http://192.168.56.104/1000KB.txt,5,0,0
1680790811670,252,HTTP Request 4 Small,200,OK,Thread Group 1-5,text,true,,1177915,127,8,8,http://192.168.56.104/1150KB.txt,5,0,0
1680790811666,257,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,8,8,http://192.168.56.104/1100KB.txt,4,0,0
1680790811988,56,HTTP Request 5 Small,200,OK,Thread Group 1-9,text,true,,1229116,127,9,9,http://192.168.56.104/1200KB.txt,4,0,2
1680790812271,73,HTTP Request 3 Small,200,OK,Thread Group 1-8,text,true,,1075515,127,9,9,http://192.168.56.104/1100KB.txt,3,0,0
1680790812349,74,HTTP Request 4 Small,200,OK,Thread Group 1-6,text,true,,1177915,127,9,9,http://192.168.56.104/1150KB.txt,1,0,0
1680790812391,274,HTTP Request 5 Small,200,OK,Thread Group 1-7,text,true,,1229115,127,9,9,http://192.168.56.104/1200KB.txt,2,0,0
1680790812388,290,HTTP Request 4 Small,200,OK,Thread Group 1-3,text,true,,1177915,127,9,9,http://192.168.56.104/1150KB.txt,1,0,0
1680790812429,280,HTTP Request 3 Small,200,OK,Thread Group 1-4,text,true,,1075515,127,9,9,http://192.168.56.104/1100KB.txt,2,0,0
1680790812945,135,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,1024314,127,10,10,http://192.168.56.104/1000KB.txt,3,0,0
1680790812949,156,HTTP Request 5 Small,200,OK,Thread Group 1-5,text,true,,1229115,127,10,10,http://192.168.56.104/1200KB.txt,4,0,0
1680790812989,122,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,1024314,127,10,10,http://192.168.56.104/1000KB.txt,5,0,0
1680790812991,162,HTTP Request 4 Small,200,OK,Thread Group 1-10,text,true,,1177916,127,10,10,http://192.168.56.104/1150KB.txt,7,0,1
1680790813427,36,HTTP Request 1 Small,200,OK,Thread Group 1-9,text,true,,1024314,127,10,10,http://192.168.56.104/1000KB.txt,1,0,0
1680790813709,49,HTTP Request 2 Small,200,OK,Thread Group 1-8,text,true,,1075515,127,10,10,http://192.168.56.104/1050KB.txt,1,0,0
1680790813788,79,HTTP Request 3 Small,200,OK,Thread Group 1-6,text,true,,1075515,127,10,10,http://192.168.56.104/1100KB.txt,1,0,0
1680790813990,194,HTTP Request 3 Small,200,OK,Thread Group 1-11,text,true,,1075516,127,11,11,http://192.168.56.104/1100KB.txt,5,0,2
1680790813830,401,HTTP Request 2 Small,200,OK,Thread Group 1-7,text,true,,1075515,127,11,11,http://192.168.56.104/1050KB.txt,5,0,0
1680790813827,591,HTTP Request 5 Small,200,OK,Thread Group 1-3,text,true,,1229115,127,11,11,http://192.168.56.104/1200KB.txt,14,0,0
1680790813868,575,HTTP Request 4 Small,200,OK,Thread Group 1-4,text,true,,1177915,127,11,11,http://192.168.56.104/1150KB.txt,2,0,0
1680790814549,96,HTTP Request 2 Small,200,OK,Thread Group 1-5,text,true,,1075515,127,11,11,http://192.168.56.104/1050KB.txt,4,0,0
1680790814546,131,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,11,11,http://192.168.56.104/1200KB.txt,16,0,0
1680790814590,92,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,1024314,127,11,11,http://192.168.56.104/1000KB.txt,15,0,0
1680790814590,129,HTTP Request 4 Small,200,OK,Thread Group 1-10,text,true,,1177915,127,11,11,http://192.168.56.104/1150KB.txt,44,0,0
1680790815027,83,HTTP Request 1 Small,200,OK,Thread Group 1-9,text,true,,1024314,127,12,12,http://192.168.56.104/1000KB.txt,3,0,0
1680790814992,122,HTTP Request 2 Small,200,OK,Thread Group 1-12,text,true,,1075516,127,12,12,http://192.168.56.104/1050KB.txt,7,0,2
1680790815309,61,HTTP Request 5 Small,200,OK,Thread Group 1-8,text,true,,1229115,127,12,12,http://192.168.56.104/1200KB.txt,2,0,0
