timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680793210185,51,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1177916,127,1,1,http://192.168.56.104/1150KB.txt,5,0,1
1680793210238,33,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,1024314,127,1,1,http://192.168.56.104/1000KB.txt,1,0,0
1680793210291,40,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,1,1,http://192.168.56.104/1050KB.txt,1,0,0
1680793210343,40,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,1,1,http://192.168.56.104/1050KB.txt,2,0,0
1680793210397,39,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,1,1,http://192.168.56.104/1100KB.txt,1,0,0
1680793210450,38,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,1,1,http://192.168.56.104/1100KB.txt,1,0,0
1680793210503,39,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,1,1,http://192.168.56.104/1100KB.txt,1,0,0
1680793210555,56,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,1,1,http://192.168.56.104/1200KB.txt,2,0,0
1680793210611,38,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,1,1,http://192.168.56.104/1100KB.txt,2,0,0
1680793210665,41,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,1,1,http://192.168.56.104/1200KB.txt,1,0,0
1680793210717,50,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1177915,127,1,1,http://192.168.56.104/1150KB.txt,2,0,0
1680793210771,53,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1177915,127,1,1,http://192.168.56.104/1150KB.txt,2,0,0
1680793210824,48,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,1,1,http://192.168.56.104/1200KB.txt,3,0,0
1680793210878,33,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,1024314,127,1,1,http://192.168.56.104/1000KB.txt,1,0,0
1680793210931,38,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1177915,127,1,1,http://192.168.56.104/1150KB.txt,1,0,0
1680793210983,42,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,1,1,http://192.168.56.104/1200KB.txt,2,0,0
1680793211036,47,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,1,1,http://192.168.56.104/1200KB.txt,2,0,0
1680793211090,40,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,1,1,http://192.168.56.104/1200KB.txt,1,0,0
1680793211143,50,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1177915,127,2,2,http://192.168.56.104/1150KB.txt,1,0,0
1680793211184,63,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,1024315,127,2,2,http://192.168.56.104/1000KB.txt,4,0,2
1680793211249,34,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,2,2,http://192.168.56.104/1100KB.txt,1,0,0
1680793211291,37,HTTP Request 3 Small,200,OK,Thread Group 1-2,text,true,,1075515,127,2,2,http://192.168.56.104/1100KB.txt,1,0,0
1680793211357,35,HTTP Request 1 Small,200,OK,Thread Group 1-1,text,true,,1024314,127,2,2,http://192.168.56.104/1000KB.txt,1,0,0
1680793211398,34,HTTP Request 3 Small,200,OK,Thread Group 1-2,text,true,,1075515,127,2,2,http://192.168.56.104/1100KB.txt,1,0,0
1680793211463,35,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,2,2,http://192.168.56.104/1050KB.txt,2,0,0
1680793211504,32,HTTP Request 1 Small,200,OK,Thread Group 1-2,text,true,,1024314,127,2,2,http://192.168.56.104/1000KB.txt,2,0,0
1680793211570,33,HTTP Request 2 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,2,2,http://192.168.56.104/1050KB.txt,1,0,0
1680793211611,36,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,1177915,127,2,2,http://192.168.56.104/1150KB.txt,1,0,0
1680793211678,40,HTTP Request 3 Small,200,OK,Thread Group 1-1,text,true,,1075515,127,2,2,http://192.168.56.104/1100KB.txt,1,0,0
1680793211719,78,HTTP Request 5 Small,200,OK,Thread Group 1-2,text,true,,1229115,127,2,2,http://192.168.56.104/1200KB.txt,1,0,0
1680793211784,125,HTTP Request 5 Small,200,OK,Thread Group 1-1,text,true,,1229115,127,2,2,http://192.168.56.104/1200KB.txt,3,0,0
1680793211825,122,HTTP Request 4 Small,200,OK,Thread Group 1-2,text,true,,1177915,127,2,2,http://192.168.56.104/1150KB.txt,3,0,0
1680793211909,95,HTTP Request 4 Small,200,OK,Thread Group 1-1,text,true,,1177915,127,2,2,http://192.168.56.104/1150KB.txt,1,0,0
