 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  97368 198396  12620 285344    0    0     0     0  537  205  0 71 29  0  0
 5  0  97368 195932  12620 285348    0    0     0     0  659  259  0 75 25  0  0
 1  0  97368 197532  12620 285348    0    0     0     0  606  250  0 74 26  0  0
 2  0  97368 197372  12628 285344    0    0     0    16  412  189  0 56 44  0  0
 1  0  97368 198172  12628 285352    0    0     0     0  972  345  0 100  0  0  0
 0  0  97368 198428  12628 285356    0    0     0     0  669  242  0 69 31  0  0
 3  0  97368 196380  12628 285356    0    0     0     0  551  278  0 77 23  0  0
 2  0  97368 196828  12628 285356    4    0     4     0  777  274  0 83 17  0  0
 4  0  97368 197920  12636 285352    0    0     0    16  587  251  0 71 29  0  0
 2  0  97368 197920  12636 285360   36    0    36     0  961  280  0 86 14  0  0
 6  0  97368 194664  12636 285364    0    0     0     0 1084  318  0 85 15  0  0
 3  0  97368 197472  12636 285364    0    0     0     0  582  258  0 72 28  0  0
 3  0  97368 196384  12636 285368    0    0     0     0 1093  267  0 93  7  0  0
 0  0  97368 198144  12644 285360    0    0     0    20  397  294  0 94  6  0  0
 0  0  97368 198176  12644 285376    0    0     0     0  750  236  0 79 21  0  0
 3  0  97368 196608  12644 285376    0    0     0     0  484  242  0 86 14  0  0
 1  0  97368 197760  12644 285376    0    0     0     0  566  203  0 64 36  0  0
 2  0  97368 195168  12644 285380    0    0     0     0  618  228  0 74 26  0  0
 0  0  97368 198176  12656 285380    0    0     0    92  618  255  0 83 16  1  0
 0  0  97368 198176  12656 285384    0    0     0     0  813  332  1 98  1  0  0
 3  0  97368 196704  12656 285384    0    0     0     0  627  226  0 84 16  0  0
 5  0  97368 196704  12656 285392    0    0     0     0  918  250  0 81 19  0  0
 0  0  97368 198176  12656 285392    0    0     0     0  626  276  0 76 24  0  0
 0  0  97368 198176  12664 285396    0    0     0    36  389  216  1 68 31  0  0
 2  0  97368 194224  12664 285396    0    0     0     0  445  246  0 78 22  0  0
 2  0  97368 196608  12664 285396    0    0     0     0  592  197  0 73 27  0  0
 2  0  97368 196032  12664 285400    0    0     0     0  536  254  0 81 19  0  0
 1  0  97368 198176  12664 285400    0    0     0     0  598  179  0 65 35  0  0
 0  0  97368 198176  12672 285404    0    0     0    16  444  236  0 67 33  0  0
 5  0  97368 196320  12672 285404    0    0     0     0  726  294  0 86 14  0  0
 2  0  97368 197920  12672 285408    0    0     0     0  752  219  0 77 23  0  0
 1  0  97368 197344  12672 285408    0    0     0     0  521  231  0 78 22  0  0
 0  0  97368 198144  12672 285408    0    0     0     0 1292  292  0 87 13  0  0
 0  0  97368 198176  12680 285412    0    0     0    16  401  234  0 71 29  0  0
 3  0  97368 196864  12680 285412    0    0     0     0  845  203  0 82 18  0  0
 2  0  97368 194752  12680 285416    0    0     0     0  984  266  0 93  7  0  0
 3  0  97368 197632  12680 285416    0    0     0     0  392  168  0 61 39  0  0
 2  0  97368 196728  12680 285416    0    0     0     0  643  264  0 79 21  0  0
 0  0  97368 198144  12688 285420    0    0     0    16  750  279  0 86 14  0  0
 1  0  97368 198144  12688 285420    0    0     0     0  408  210  0 64 36  0  0
 1  0  97368 197088  12688 285424    0    0     0     0  560  246  0 76 24  0  0
 0  0  97368 198176  12688 285424    0    0     0     0  551  193  0 65 35  0  0
 1  0  97368 197216  12688 285428    0    0     0     0  498  273  1 74 25  0  0
 2  0  97368 197696  12696 285428    0    0     0    16  844  244  0 77 23  0  0
 1  0  97368 195616  12696 285432    0    0     0     8  621  293  0 78 22  0  0
 1  0  97368 197344  12696 285432    0    0     0     0  414  173  0 51 49  0  0
 1  0  97368 197168  12696 285432    0    0     0     0  796  254  0 96  4  0  0
 0  0  97368 197892  12696 285436    0    0     0     0  354  228  0 61 39  0  0
 4  0  97368 196100  12696 285436    0    0     0    56  974  241  0 81 19  0  0
 0  0  97368 197892  12708 285444    0    0     0    40  517  324  0 95  5  0  0
 5  0  97368 194332  12708 285444    0    0     0     0 1040  224  0 69 31  0  0
 2  0  97368 195204  12708 285444    0    0     0     0  561  325  0 95  5  0  0
 0  0  97368 195876  12708 285448    0    0     0     0  559  159  0 56 44  0  0
 1  0  97368 191628  12708 285448    0    0     0     0 1143  315  0 87 13  0  0
 3  0  97368 195556  12716 285452    0    0     0    16  675  211  0 85 15  0  0
 4  0  97368 195172  12716 285444    8    0     8     0  649  316  0 90 10  0  0
 0  0  97368 195844  12724 285496  112    0   152    32  443  326  0 68 14 18  0
 3  0  97368 194948  12724 285496    0    0     0     0  558  237  0 72 28  0  0
 0  0  97368 195592  12724 285496    0    0     0     0  436  253  0 74 26  0  0
 2  0  97368 195180  12724 285824    0    0   352    28  790  233  0 62 37  1  0
 0  0  97368 195340  12868 285940    0    0   200    80  748  400  0 94  6  0  0
 2  0  97368 194700  12868 285944    0    0     0     0  421  188  0 59 41  0  0
 1  1  97368 190912  12884 286980    8    0  1044    84  700  301  0 82 18  0  0
 3  0  97368 186704  13144 290684  224    0  4116    28  556  595  2 65 32  1  0
 1  0  97368 188368  13144 290688    0    0     0     0  392  250  0 74 26  0  0
 0  0  97368 188528  13144 290688    0    0     0     0  683  255  0 81 19  0  0
 5  0  97368 186352  13144 290692    0    0     0     0  654  281  0 78 22  0  0
